Gene_1	Gene_2	Gene_1_group	Gene_2_group	Identity	end_match	full_length_match	Direction
SB_biofilm_MAG_16_03229	SB_biofilm_MAG_66_02260	A	I	72.905	no	no	NA
SB_biofilm_MAG_16_03309	SB_biofilm_MAG_71_02094	A	F	76.415	no	no	NA
SB_biofilm_MAG_16_03601	SB_biofilm_MAG_43_05525	A	M	77.798	no	no	SB_biofilm_MAG_43-->SB_biofilm_MAG_16
SB_biofilm_MAG_16_03746	SB_biofilm_MAG_65_01080	A	N	74.116	no	no	SB_biofilm_MAG_16-->SB_biofilm_MAG_65
SB_biofilm_MAG_16_03922	SB_biofilm_MAG_65_02613	A	N	72.995	no	no	NA
SB_biofilm_MAG_16_03923	SB_biofilm_MAG_65_02612	A	N	76.308	no	no	NA
SB_biofilm_MAG_16_03957	SB_biofilm_MAG_43_02679	A	M	75.373	no	no	SB_biofilm_MAG_16-->SB_biofilm_MAG_43
SB_biofilm_MAG_16_04242	SB_biofilm_MAG_28_02319	A	L	75.945	no	no	NA
SB_biofilm_MAG_18_00054	SB_biofilm_MAG_26_00219	K	I	72.926	no	no	NA
SB_biofilm_MAG_18_00163	SB_biofilm_MAG_28_05995	K	L	72.601	no	no	SB_biofilm_MAG_18-->SB_biofilm_MAG_28
SB_biofilm_MAG_18_00402	SB_biofilm_MAG_33_02790	K	H	73.466	no	no	NA
SB_biofilm_MAG_18_00444	SB_biofilm_MAG_33_00940	K	H	72.029	no	no	NA
SB_biofilm_MAG_18_00575	SB_biofilm_MAG_76_02914	K	I	73.416	no	no	NA
SB_biofilm_MAG_18_00587	SB_biofilm_MAG_28_03257	K	L	75.157	no	no	NA
SB_biofilm_MAG_18_00595	SB_biofilm_MAG_59_02781	K	M	78.131	no	no	SB_biofilm_MAG_59-->SB_biofilm_MAG_18
SB_biofilm_MAG_18_00986	SB_biofilm_MAG_71_00653	K	F	74.094	no	no	NA
SB_biofilm_MAG_18_01052	SB_biofilm_MAG_48_04722	K	M	73.913	no	no	NA
SB_biofilm_MAG_18_01155	SB_biofilm_MAG_66_01925	K	I	74.078	no	no	NA
SB_biofilm_MAG_18_01168	SB_biofilm_MAG_48_01292	K	M	72.973	no	no	NA
SB_biofilm_MAG_18_01245	SB_biofilm_MAG_54_03057	K	C	71.053	no	no	NA
SB_biofilm_MAG_18_01256	SB_biofilm_MAG_54_01130	K	C	77.124	no	no	NA
SB_biofilm_MAG_18_01614	SB_biofilm_MAG_53_02730	K	G	76.744	no	no	NA
SB_biofilm_MAG_18_01659	SB_biofilm_MAG_53_02715	K	G	73.577	no	no	SB_biofilm_MAG_18-->SB_biofilm_MAG_53
SB_biofilm_MAG_18_01679	SB_biofilm_MAG_76_01074	K	I	76.812	no	no	NA
SB_biofilm_MAG_18_01770	SB_biofilm_MAG_53_03244	K	G	76.238	no	no	NA
SB_biofilm_MAG_18_01859	SB_biofilm_MAG_82_01002	K	I	73.458	no	no	NA
SB_biofilm_MAG_18_01980	SB_biofilm_MAG_66_00354	K	I	73.927	no	no	NA
SB_biofilm_MAG_18_02049	SB_biofilm_MAG_48_03263	K	M	76.658	no	no	NA
SB_biofilm_MAG_18_02104	SB_biofilm_MAG_27_01845	K	A	74.107	no	no	NA
SB_biofilm_MAG_18_02109	SB_biofilm_MAG_75_01290	K	A	79.655	no	no	NA
SB_biofilm_MAG_18_02183	SB_biofilm_MAG_49_00090	K	I	76.143	no	no	NA
SB_biofilm_MAG_18_02288	SB_biofilm_MAG_53_02285	K	G	78.257	no	no	SB_biofilm_MAG_53-->SB_biofilm_MAG_18
SB_biofilm_MAG_18_02329	SB_biofilm_MAG_59_01630	K	M	73.791	no	no	NA
SB_biofilm_MAG_18_02380	SB_biofilm_MAG_53_02017	K	G	73.447	no	no	NA
SB_biofilm_MAG_18_02434	SB_biofilm_MAG_66_00026	K	I	74.563	no	no	NA
SB_biofilm_MAG_18_02587	SB_biofilm_MAG_53_02043	K	G	74.253	no	no	NA
SB_biofilm_MAG_18_02595	SB_biofilm_MAG_53_02813	K	G	73.371	no	no	NA
SB_biofilm_MAG_18_02664	SB_biofilm_MAG_7_01685	K	I	75.172	no	no	NA
SB_biofilm_MAG_18_02670	SB_biofilm_MAG_22_01109	K	A	74.641	no	no	NA
SB_biofilm_MAG_18_02952	SB_biofilm_MAG_66_02357	K	I	73.016	no	no	NA
SB_biofilm_MAG_18_03250	SB_biofilm_MAG_53_02752	K	G	75.1	no	no	NA
SB_biofilm_MAG_19_00243	SB_biofilm_MAG_72_00801	A	N	74.226	no	no	NA
SB_biofilm_MAG_19_00644	SB_biofilm_MAG_20_02745	A	N	74.306	no	no	NA
SB_biofilm_MAG_19_00998	SB_biofilm_MAG_53_00507	A	G	73.575	no	no	NA
SB_biofilm_MAG_19_01743	SB_biofilm_MAG_7_00264	A	I	72.458	no	no	NA
SB_biofilm_MAG_19_01845	SB_biofilm_MAG_48_00706	A	M	73.613	no	no	NA
SB_biofilm_MAG_19_02027	SB_biofilm_MAG_43_04297	A	M	73.612	no	no	NA
SB_biofilm_MAG_19_02073	SB_biofilm_MAG_53_03183	A	G	76.265	no	no	NA
SB_biofilm_MAG_19_02184	SB_biofilm_MAG_53_00491	A	G	74.527	no	no	NA
SB_biofilm_MAG_20_00004	SB_biofilm_MAG_43_01619	N	M	73.446	no	no	SB_biofilm_MAG_20-->SB_biofilm_MAG_43
SB_biofilm_MAG_20_00062	SB_biofilm_MAG_28_01635	N	L	76.632	no	no	NA
SB_biofilm_MAG_20_00188	SB_biofilm_MAG_40_01022	N	A	77.63	no	no	NA
SB_biofilm_MAG_20_00192	SB_biofilm_MAG_40_01026	N	A	74.437	no	no	NA
SB_biofilm_MAG_20_00193	SB_biofilm_MAG_32_02269	N	A	74.982	no	no	NA
SB_biofilm_MAG_20_00194	SB_biofilm_MAG_32_02270	N	A	81.174	no	no	NA
SB_biofilm_MAG_20_00508	SB_biofilm_MAG_59_05646	N	M	77.803	no	no	NA
SB_biofilm_MAG_20_00900	SB_biofilm_MAG_7_02106	N	I	74.598	no	no	NA
SB_biofilm_MAG_20_00939	SB_biofilm_MAG_53_00153	N	G	73.042	no	no	SB_biofilm_MAG_20-->SB_biofilm_MAG_53
SB_biofilm_MAG_20_01073	SB_biofilm_MAG_76_00331	N	I	74.951	no	no	NA
SB_biofilm_MAG_20_01293	SB_biofilm_MAG_77_00782	N	A	79.484	no	no	NA
SB_biofilm_MAG_20_01297	SB_biofilm_MAG_21_04081	N	A	78.233	no	no	NA
SB_biofilm_MAG_20_01559	SB_biofilm_MAG_18_01589	N	K	79.511	no	no	NA
SB_biofilm_MAG_20_01606	SB_biofilm_MAG_49_02334	N	I	72.165	no	no	NA
SB_biofilm_MAG_20_01637	SB_biofilm_MAG_67_00991	N	A	75.741	no	no	NA
SB_biofilm_MAG_20_01700	SB_biofilm_MAG_21_00427	N	A	76.06	no	no	NA
SB_biofilm_MAG_20_01708	SB_biofilm_MAG_32_01696	N	A	76.773	no	no	NA
SB_biofilm_MAG_20_01717	SB_biofilm_MAG_74_01119	N	A	73.171	no	no	NA
SB_biofilm_MAG_20_01719	SB_biofilm_MAG_75_02191	N	A	76.19	no	no	NA
SB_biofilm_MAG_20_01781	SB_biofilm_MAG_59_05210	N	M	73.827	no	no	NA
SB_biofilm_MAG_20_01787	SB_biofilm_MAG_28_04626	N	L	75.929	no	no	SB_biofilm_MAG_28-->SB_biofilm_MAG_20
SB_biofilm_MAG_20_01838	SB_biofilm_MAG_28_03393	N	L	73.719	no	no	SB_biofilm_MAG_20-->SB_biofilm_MAG_28
SB_biofilm_MAG_20_01996	SB_biofilm_MAG_21_03280	N	A	75.15	no	no	SB_biofilm_MAG_20-->SB_biofilm_MAG_21
SB_biofilm_MAG_20_01997	SB_biofilm_MAG_21_03279	N	A	74.291	no	no	NA
SB_biofilm_MAG_20_02041	SB_biofilm_MAG_71_02938	N	F	76.275	no	no	NA
SB_biofilm_MAG_20_02055	SB_biofilm_MAG_53_00491	N	G	73.671	no	no	NA
SB_biofilm_MAG_20_02083	SB_biofilm_MAG_7_00116	N	I	73.506	no	no	NA
SB_biofilm_MAG_20_02307	SB_biofilm_MAG_66_02260	N	I	74.845	no	no	SB_biofilm_MAG_20-->SB_biofilm_MAG_66
SB_biofilm_MAG_20_02327	SB_biofilm_MAG_22_00405	N	A	75.841	no	no	NA
SB_biofilm_MAG_20_02425	SB_biofilm_MAG_53_02610	N	G	75.588	no	no	NA
SB_biofilm_MAG_20_02609	SB_biofilm_MAG_24_00408	N	A	75.205	no	no	NA
SB_biofilm_MAG_20_02676	SB_biofilm_MAG_48_01424	N	M	78.451	no	no	NA
SB_biofilm_MAG_20_02677	SB_biofilm_MAG_28_04064	N	L	73.735	no	no	NA
SB_biofilm_MAG_20_02751	SB_biofilm_MAG_28_05146	N	L	77.196	no	no	NA
SB_biofilm_MAG_20_02817	SB_biofilm_MAG_7_00891	N	I	75.663	no	no	NA
SB_biofilm_MAG_20_02905	SB_biofilm_MAG_47_01618	N	A	78.175	no	no	NA
SB_biofilm_MAG_20_02906	SB_biofilm_MAG_47_01619	N	A	75.124	no	no	NA
SB_biofilm_MAG_20_02925	SB_biofilm_MAG_27_00249	N	A	77.953	no	no	NA
SB_biofilm_MAG_20_02957	SB_biofilm_MAG_34_03105	N	C	73.402	no	no	NA
SB_biofilm_MAG_20_03033	SB_biofilm_MAG_53_03600	N	G	72.232	no	no	SB_biofilm_MAG_53-->SB_biofilm_MAG_20
SB_biofilm_MAG_20_03070	SB_biofilm_MAG_28_06466	N	L	74.528	no	no	NA
SB_biofilm_MAG_20_03185	SB_biofilm_MAG_21_04113	N	A	81.471	no	no	NA
SB_biofilm_MAG_20_03193	SB_biofilm_MAG_67_00971	N	A	73.547	no	no	NA
SB_biofilm_MAG_20_03271	SB_biofilm_MAG_28_05723	N	L	73.958	no	no	NA
SB_biofilm_MAG_20_03327	SB_biofilm_MAG_49_02476	N	I	78.737	no	no	NA
SB_biofilm_MAG_21_00632	SB_biofilm_MAG_20_00187	A	N	79.465	no	no	NA
SB_biofilm_MAG_21_00771	SB_biofilm_MAG_48_04711	A	M	76.691	no	no	NA
SB_biofilm_MAG_21_00905	SB_biofilm_MAG_41_01175	A	N	73.947	no	no	NA
SB_biofilm_MAG_21_01113	SB_biofilm_MAG_65_01473	A	N	75.042	no	no	NA
SB_biofilm_MAG_21_01482	SB_biofilm_MAG_65_00485	A	N	73.177	no	no	NA
SB_biofilm_MAG_21_01566	SB_biofilm_MAG_34_04267	A	C	72.798	no	no	NA
SB_biofilm_MAG_21_01888	SB_biofilm_MAG_65_03019	A	N	74.102	no	no	NA
SB_biofilm_MAG_21_01900	SB_biofilm_MAG_20_02890	A	N	75.916	no	no	NA
SB_biofilm_MAG_21_01937	SB_biofilm_MAG_53_03183	A	G	78.143	no	no	NA
SB_biofilm_MAG_21_02139	SB_biofilm_MAG_59_05646	A	M	78.394	no	no	NA
SB_biofilm_MAG_21_02198	SB_biofilm_MAG_20_01096	A	N	78.037	no	no	NA
SB_biofilm_MAG_21_02212	SB_biofilm_MAG_71_02094	A	F	74.006	no	no	NA
SB_biofilm_MAG_21_02250	SB_biofilm_MAG_54_02077	A	C	72.039	no	no	NA
SB_biofilm_MAG_21_02315	SB_biofilm_MAG_20_00164	A	N	74.124	no	no	NA
SB_biofilm_MAG_21_02954	SB_biofilm_MAG_43_04297	A	M	76.607	no	no	NA
SB_biofilm_MAG_21_03080	SB_biofilm_MAG_20_02034	A	N	74.153	no	no	NA
SB_biofilm_MAG_21_03150	SB_biofilm_MAG_65_03400	A	N	75.741	no	no	NA
SB_biofilm_MAG_21_03153	SB_biofilm_MAG_28_02322	A	L	77.778	no	no	NA
SB_biofilm_MAG_21_03161	SB_biofilm_MAG_68_02329	A	N	77.457	no	no	NA
SB_biofilm_MAG_21_03699	SB_biofilm_MAG_28_01635	A	L	76.587	no	no	NA
SB_biofilm_MAG_21_03703	SB_biofilm_MAG_53_00491	A	G	75.42	no	no	NA
SB_biofilm_MAG_21_03821	SB_biofilm_MAG_65_00821	A	N	75.392	no	no	NA
SB_biofilm_MAG_21_03825	SB_biofilm_MAG_65_00817	A	N	77.94	no	no	NA
SB_biofilm_MAG_21_03906	SB_biofilm_MAG_65_03169	A	N	75.277	no	no	NA
SB_biofilm_MAG_21_04014	SB_biofilm_MAG_59_06121	A	M	74.965	no	no	NA
SB_biofilm_MAG_21_04098	SB_biofilm_MAG_20_02886	A	N	73.766	no	no	NA
SB_biofilm_MAG_21_04134	SB_biofilm_MAG_53_02610	A	G	74.583	no	no	NA
SB_biofilm_MAG_21_04307	SB_biofilm_MAG_59_01607	A	M	75.421	no	no	NA
SB_biofilm_MAG_21_04356	SB_biofilm_MAG_48_05756	A	M	78.1	no	no	NA
SB_biofilm_MAG_21_04808	SB_biofilm_MAG_20_02185	A	N	73.195	no	no	NA
SB_biofilm_MAG_22_00441	SB_biofilm_MAG_28_01559	A	L	72.911	no	no	NA
SB_biofilm_MAG_22_00932	SB_biofilm_MAG_65_04218	A	N	73.262	no	no	NA
SB_biofilm_MAG_22_01225	SB_biofilm_MAG_20_01559	A	N	74.074	no	no	NA
SB_biofilm_MAG_22_01256	SB_biofilm_MAG_71_01222	A	F	73.423	no	no	SB_biofilm_MAG_71-->SB_biofilm_MAG_22
SB_biofilm_MAG_22_01464	SB_biofilm_MAG_76_00843	A	I	75.446	no	no	NA
SB_biofilm_MAG_22_01673	SB_biofilm_MAG_18_02471	A	K	74.503	no	no	NA
SB_biofilm_MAG_22_02499	SB_biofilm_MAG_68_01911	A	N	76.76	no	no	NA
SB_biofilm_MAG_22_02627	SB_biofilm_MAG_78_00793	A	K	74.638	no	no	NA
SB_biofilm_MAG_22_02691	SB_biofilm_MAG_9_00522	A	K	72.188	no	no	NA
SB_biofilm_MAG_22_02756	SB_biofilm_MAG_28_05723	A	L	76.712	no	no	SB_biofilm_MAG_22-->SB_biofilm_MAG_28
SB_biofilm_MAG_22_02777	SB_biofilm_MAG_53_01328	A	G	74.634	no	no	NA
SB_biofilm_MAG_24_00024	SB_biofilm_MAG_53_02610	A	G	77.029	no	no	SB_biofilm_MAG_53-->SB_biofilm_MAG_24
SB_biofilm_MAG_24_00044	SB_biofilm_MAG_59_05516	A	M	76.204	no	no	NA
SB_biofilm_MAG_24_00092	SB_biofilm_MAG_28_04627	A	L	74.183	no	no	NA
SB_biofilm_MAG_24_00093	SB_biofilm_MAG_28_04626	A	L	78.267	no	no	NA
SB_biofilm_MAG_24_00294	SB_biofilm_MAG_59_05025	A	M	74.215	no	no	NA
SB_biofilm_MAG_24_00460	SB_biofilm_MAG_53_00491	A	G	76.788	no	no	NA
SB_biofilm_MAG_24_00461	SB_biofilm_MAG_48_00871	A	M	73.526	no	no	NA
SB_biofilm_MAG_24_00468	SB_biofilm_MAG_20_00440	A	N	77.663	no	no	NA
SB_biofilm_MAG_24_00487	SB_biofilm_MAG_53_03183	A	G	80.132	no	no	NA
SB_biofilm_MAG_24_01402	SB_biofilm_MAG_20_02745	A	N	75.233	no	no	NA
SB_biofilm_MAG_24_01731	SB_biofilm_MAG_41_01428	A	N	73.129	no	no	NA
SB_biofilm_MAG_24_01820	SB_biofilm_MAG_28_01635	A	L	80.0	no	no	NA
SB_biofilm_MAG_24_01837	SB_biofilm_MAG_72_02446	A	N	79.343	no	no	NA
SB_biofilm_MAG_24_01972	SB_biofilm_MAG_20_02327	A	N	75.065	no	no	NA
SB_biofilm_MAG_24_02083	SB_biofilm_MAG_20_03132	A	N	78.483	no	no	NA
SB_biofilm_MAG_24_02336	SB_biofilm_MAG_20_00900	A	N	75.063	no	no	NA
SB_biofilm_MAG_24_02574	SB_biofilm_MAG_59_05210	A	M	77.616	no	no	NA
SB_biofilm_MAG_24_02615	SB_biofilm_MAG_48_05733	A	M	74.296	no	no	NA
SB_biofilm_MAG_24_02671	SB_biofilm_MAG_28_04402	A	L	75.27	no	no	NA
SB_biofilm_MAG_24_03199	SB_biofilm_MAG_65_01081	A	N	74.197	no	no	NA
SB_biofilm_MAG_24_03692	SB_biofilm_MAG_65_01077	A	N	73.913	no	no	NA
SB_biofilm_MAG_24_03745	SB_biofilm_MAG_20_03133	A	N	77.149	no	no	NA
SB_biofilm_MAG_24_03808	SB_biofilm_MAG_20_02886	A	N	78.151	no	no	SB_biofilm_MAG_20-->SB_biofilm_MAG_24
SB_biofilm_MAG_24_04038	SB_biofilm_MAG_71_02649	A	F	74.16	no	no	NA
SB_biofilm_MAG_24_04095	SB_biofilm_MAG_65_03400	A	N	74.957	no	no	NA
SB_biofilm_MAG_24_04294	SB_biofilm_MAG_20_02663	A	N	73.077	no	no	NA
SB_biofilm_MAG_24_04535	SB_biofilm_MAG_68_00108	A	N	73.049	no	no	NA
SB_biofilm_MAG_24_04537	SB_biofilm_MAG_68_00110	A	N	76.158	no	no	NA
SB_biofilm_MAG_24_04607	SB_biofilm_MAG_65_01707	A	N	73.133	no	no	SB_biofilm_MAG_65-->SB_biofilm_MAG_24
SB_biofilm_MAG_24_04609	SB_biofilm_MAG_65_01705	A	N	74.329	no	no	NA
SB_biofilm_MAG_25_01073	SB_biofilm_MAG_43_04297	A	M	73.592	no	no	NA
SB_biofilm_MAG_25_01170	SB_biofilm_MAG_59_01491	A	M	78.333	no	no	NA
SB_biofilm_MAG_25_01211	SB_biofilm_MAG_28_05451	A	L	72.947	no	no	NA
SB_biofilm_MAG_25_01622	SB_biofilm_MAG_59_01883	A	M	75.366	no	no	NA
SB_biofilm_MAG_25_01754	SB_biofilm_MAG_53_03575	A	G	73.858	no	no	NA
SB_biofilm_MAG_25_01770	SB_biofilm_MAG_53_00507	A	G	73.85	no	no	NA
SB_biofilm_MAG_25_01974	SB_biofilm_MAG_71_02094	A	F	75.385	no	no	NA
SB_biofilm_MAG_25_02130	SB_biofilm_MAG_54_01252	A	C	72.406	no	no	SB_biofilm_MAG_25-->SB_biofilm_MAG_54
SB_biofilm_MAG_25_02367	SB_biofilm_MAG_20_02926	A	N	74.848	no	no	NA
SB_biofilm_MAG_25_02453	SB_biofilm_MAG_7_02106	A	I	74.538	no	no	NA
SB_biofilm_MAG_25_02644	SB_biofilm_MAG_53_03183	A	G	81.683	no	no	NA
SB_biofilm_MAG_25_02701	SB_biofilm_MAG_28_06465	A	L	73.626	no	no	NA
SB_biofilm_MAG_25_02835	SB_biofilm_MAG_28_03457	A	L	72.902	no	no	NA
SB_biofilm_MAG_26_00164	SB_biofilm_MAG_27_03763	I	A	72.219	no	no	NA
SB_biofilm_MAG_26_00230	SB_biofilm_MAG_53_01360	I	G	78.533	no	no	NA
SB_biofilm_MAG_26_00231	SB_biofilm_MAG_53_01359	I	G	75.117	no	no	NA
SB_biofilm_MAG_26_00948	SB_biofilm_MAG_16_01766	I	A	72.195	no	no	NA
SB_biofilm_MAG_26_01892	SB_biofilm_MAG_59_01728	I	M	73.357	no	no	NA
SB_biofilm_MAG_27_00024	SB_biofilm_MAG_28_00469	A	L	76.425	no	no	NA
SB_biofilm_MAG_27_00047	SB_biofilm_MAG_28_02291	A	L	74.432	no	no	NA
SB_biofilm_MAG_27_00449	SB_biofilm_MAG_28_02323	A	L	77.852	no	no	NA
SB_biofilm_MAG_27_00469	SB_biofilm_MAG_18_01589	A	K	77.09	no	no	NA
SB_biofilm_MAG_27_00500	SB_biofilm_MAG_53_00507	A	G	72.909	no	no	NA
SB_biofilm_MAG_27_00776	SB_biofilm_MAG_28_01632	A	L	74.838	no	no	NA
SB_biofilm_MAG_27_01035	SB_biofilm_MAG_68_00212	A	N	73.128	no	no	NA
SB_biofilm_MAG_27_01040	SB_biofilm_MAG_78_00291	A	K	73.913	no	no	NA
SB_biofilm_MAG_27_01189	SB_biofilm_MAG_53_03183	A	G	77.731	no	no	NA
SB_biofilm_MAG_27_01251	SB_biofilm_MAG_65_01883	A	N	75.998	no	no	NA
SB_biofilm_MAG_27_01252	SB_biofilm_MAG_61_01241	A	K	75.835	no	no	NA
SB_biofilm_MAG_27_01679	SB_biofilm_MAG_54_02755	A	C	73.196	no	no	SB_biofilm_MAG_27-->SB_biofilm_MAG_54
SB_biofilm_MAG_27_01704	SB_biofilm_MAG_28_04626	A	L	73.729	no	no	NA
SB_biofilm_MAG_27_01705	SB_biofilm_MAG_28_04627	A	L	74.174	no	no	NA
SB_biofilm_MAG_27_01759	SB_biofilm_MAG_20_02608	A	N	73.222	no	no	NA
SB_biofilm_MAG_27_01795	SB_biofilm_MAG_49_02334	A	I	75.068	no	no	NA
SB_biofilm_MAG_27_01845	SB_biofilm_MAG_28_05719	A	L	76.423	no	no	SB_biofilm_MAG_28-->SB_biofilm_MAG_27
SB_biofilm_MAG_27_02447	SB_biofilm_MAG_41_00844	A	N	75.405	no	no	NA
SB_biofilm_MAG_27_02820	SB_biofilm_MAG_28_01559	A	L	75.447	no	no	NA
SB_biofilm_MAG_27_03105	SB_biofilm_MAG_18_01730	A	K	73.129	no	no	NA
SB_biofilm_MAG_27_03134	SB_biofilm_MAG_28_01635	A	L	80.934	no	no	NA
SB_biofilm_MAG_27_03204	SB_biofilm_MAG_28_05700	A	L	77.108	no	no	SB_biofilm_MAG_27-->SB_biofilm_MAG_28
SB_biofilm_MAG_27_03315	SB_biofilm_MAG_66_01714	A	I	74.612	no	no	NA
SB_biofilm_MAG_27_03358	SB_biofilm_MAG_78_01485	A	K	75.758	no	no	NA
SB_biofilm_MAG_27_03383	SB_biofilm_MAG_48_05756	A	M	76.52	no	no	NA
SB_biofilm_MAG_27_03403	SB_biofilm_MAG_53_03222	A	G	77.097	no	no	NA
SB_biofilm_MAG_27_03469	SB_biofilm_MAG_20_00410	A	N	73.281	no	no	NA
SB_biofilm_MAG_27_03524	SB_biofilm_MAG_71_02094	A	F	75.71	no	no	NA
SB_biofilm_MAG_27_03700	SB_biofilm_MAG_28_04402	A	L	76.232	no	no	NA
SB_biofilm_MAG_27_03743	SB_biofilm_MAG_48_05361	A	M	79.916	no	no	NA
SB_biofilm_MAG_29_00263	SB_biofilm_MAG_65_01906	A	N	75.949	no	no	NA
SB_biofilm_MAG_29_00590	SB_biofilm_MAG_43_04297	A	M	73.227	no	no	NA
SB_biofilm_MAG_29_00719	SB_biofilm_MAG_48_00706	A	M	75.273	no	no	SB_biofilm_MAG_29-->SB_biofilm_MAG_48
SB_biofilm_MAG_29_01216	SB_biofilm_MAG_53_03183	A	G	77.496	no	no	NA
SB_biofilm_MAG_29_01308	SB_biofilm_MAG_41_01276	A	N	73.37	no	no	NA
